german_word,pronunciation,meaning,example_sentence,option_1,option_2,option_3,option_4,gender,emoji,keyword,note
bleib,blaib,stay,Bitte bleib hier.,go,stay,run,sleep,verb,,stay sign,Verb
stehen,shtay-en,to stand,Ich stehe hier.,sit,run,stand,sleep,verb,,standing person,Verb
denken,denk-en,to think,Ich denke viel.,think,eat,sleep,drive,verb,,thinking person,Verb
vor,for,before / in front of,Er steht vor dem Haus.,behind,before,under,over,preposition,,in front,Preposition
hübsch,hoobsh,pretty,Das Mädchen ist hübsch.,ugly,tall,pretty,old,adjective,,pretty girl,Adjective
besten,bes-ten,best,Das ist am besten.,worst,better,best,small,adjective,,trophy,Adjective
aussieht,ows-zeet,looks / appears,Er sieht gut aus.,looks,runs,eats,writes,verb,,looking,Verb
arm,arm,poor,Der Mann ist arm.,rich,poor,tall,young,adjective,,poor person,Adjective
echt,ekht,real / really,Das ist echt gut.,fake,real,old,new,adjective,,real stamp,Adjective
süß,zues,sweet / cute,Der Hund ist süß.,sour,bitter,sweet,salty,adjective,,cute puppy,Adjective
schon,shohn,already,Ich habe schon gegessen.,never,already,later,tomorrow,adverb,,finished,Adverb
hör,hoer,listen,Bitte hör zu.,sleep,listen,run,jump,verb,,listening ear,Verb
derzeit,dayr-tsite,currently,Ich arbeite derzeit hier.,now,currently,yesterday,soon,adverb,,calendar,Adverb
verlagern,fer-lah-gern,to shift / move,Wir verlagern das Projekt.,stop,shift,move,sell,verb,,moving boxes,Verb
auf,owf,on / onto,Das Buch liegt auf dem Tisch.,under,on,in,between,preposition,,on top,Preposition
solltest,zol-test,should,Du solltest lernen.,must,should,can,will,verb,,advice,Modal Verb
Idioten,idi-oh-ten,idiots,Die Idioten lachen laut.,teachers,friends,idiots,doctors,noun,,idiot,Noun (Plural)
nur,noor,only,Ich habe nur einen Euro.,all,only,many,none,adverb,,only one,Adverb
einlassen,ine-lass-en,to get involved,Er will sich nicht einlassen.,enter,leave,get involved,sleep,verb,,handshake,Verb
einfach,ine-fakh,simple / easy,Deutsch ist einfach.,difficult,simple,expensive,long,adjective,,easy button,Adjective
jetzt,yetst,now,Ich gehe jetzt nach Hause.,yesterday,now,tomorrow,later,adverb,,clock now,Adverb
diese,dee-zeh,this/these,Diese Frau ist nett.,that,this/these,many,none,determiner,,pointing finger,Demonstrative Word
super,zoo-per,great/awesome,Das ist super!,terrible,super,slow,old,adjective,,awesome,Adjective
gekrobt,geh-krobt,crawled (likely misspelling/slang),Das Tier ist gekrobt.,flew,swam,crawled,jumped,verb,,crawling baby,Verb
