german_word,pronunciation,meaning,example_sentence,option_1,option_2,option_3,option_4,gender,emoji,keyword,note
der Vater,vAH-tah,the father,Mein Vater arbeitet viel.,August,Goodbye,the father,to drink (water),masculine,👨,father dad,Noun • Singular
das Eis,ice,the ice cream,Das Eis schmeckt gut.,Summer,Have a nice day,Before (to the hour),the ice cream,neuter,🍨,ice cream sundae,Noun • Singular
die Tür,t-yur,the door,Die Tür ist offen.,to drink (beer),15 Minutes Past,the door,August,feminine,🚪,door wooden,Noun • Singular
das Tor,tohr,the gate / barrier,Das Tor ist geschlossen.,Very good,to ask,the gate / barrier,October,neuter,🚧,gate barrier,Noun • Singular
die Hose,HOH-zeh,the trousers / pants,Die Hose ist blau.,Good morning,Good evening,to do/make,the trousers / pants,feminine,👖,pants trousers,Noun • Singular
der Stern,shtern,the star,Der Stern leuchtet hell.,15 Minutes Past,to do/make,the star,to hear/listen,masculine,⭐,star space,Noun • Singular
die Sonne,ZOH-neh,the sun,Die Sonne scheint heute.,the ice cream,the sun,I am doing...,North,feminine,☀️,sun sunlight,Noun • Singular
der Mond,mohnt,the moon,Der Mond ist heute voll.,the moon,to cook,the ball,the lamp,masculine,🌙,moon crescent night,Noun • Singular
der Himmel,HIM-el,the sky / heaven,Der Himmel ist blau.,the sky / heaven,January,Winter,the window,masculine,☁️,sky clouds,Noun • Singular
der Bleistift,BLY-shtift,the pencil,Ich brauche einen Bleistift.,How are you? (Formal),the T-Shirt,West,the pencil,masculine,✏️,wooden pencil,Noun • Singular
die Pflanze,PFLAN-tseh,the plant,Die Pflanze braucht Wasser.,the plant,the chocolate,Autumn / Fall,March,feminine,🪴,houseplant potted,Noun • Singular
das T-Shirt,TEE-shurt,the T-Shirt,Das T-Shirt ist rot.,I am doing...,May,the T-Shirt,How are you? (Formal),neuter,👕,tshirt,Noun • Singular
das Sofa,ZOH-fah,the sofa / couch,Das Sofa ist sehr bequem.,the sofa / couch,the dog,Good,15 Minutes To,neuter,🛋️,sofa couch,Noun • Singular
der Stift,shtift,the pen,Hast du einen Stift?,the chocolate,the pen,the window,the door,masculine,🖋️,fountain pen,Noun • Singular
das Heft,heft,the notebook,Das Heft ist auf dem Tisch.,the table,the notebook,the sky / heaven,the teacher (male),neuter,📒,notebook spiral,Noun • Singular
der Bonbon,BONG-bong,the candy / bonbon,Der Bonbon ist süß.,the star,the candy / bonbon,the clock / watch,the house,masculine,🍬,hard candy,Noun • Singular
der Fisch,fish,the fish,Der Fisch schwimmt im Wasser.,the room,Bye,the fish,May,masculine,🐟,fish swimming,Noun • Singular
die Blume,BLOO-meh,the flower,Die Blume ist schön.,the chocolate,the flower,30 Minutes Past (Half),the gate / barrier,feminine,🌸,flower blossom,Noun • Singular
der Ball,bahl,the ball,Der Ball ist rund.,the dog,you (informal),Good,the ball,masculine,⚽,soccer ball,Noun • Singular
die Lampe,LAHM-peh,the lamp,Die Lampe ist an.,Summer,the father,they / You (formal),the lamp,feminine,💡,lamp lightbulb,Noun • Singular
